ID,Age,Gender,State,District,Urban_Rural,Education,Occupation,Income_Bracket,Employment_Status,Family_Size,Housing_Type,Religion,Caste_Category
1,34,Male,Maharashtra,Mumbai,Urban,Graduate,Software Engineer,50000-75000,Employed,4,Apartment,Hindu,General
2,28,Female,Karnataka,Bangalore,Urban,Post Graduate,Doctor,75000-100000,Employed,3,Independent House,Hindu,General
3,45,Male,Tamil Nadu,Chennai,Urban,Higher Secondary,Business Owner,100000-150000,Self Employed,5,Independent House,Hindu,OBC
4,52,Female,Delhi,New Delhi,Urban,Graduate,Government Officer,75000-100000,Employed,3,Apartment,Sikh,General
5,29,Male,Gujarat,Ahmedabad,Urban,Graduate,Marketing Manager,50000-75000,Employed,4,Apartment,Hindu,General
6,38,Female,West Bengal,Kolkata,Urban,Higher Secondary,Teacher,25000-50000,Employed,4,Apartment,Hindu,General
7,41,Male,Rajasthan,Jaipur,Urban,Graduate,Bank Manager,75000-100000,Employed,5,Independent House,Hindu,General
8,33,Female,Uttar Pradesh,Lucknow,Urban,Graduate,Nurse,25000-50000,Employed,3,Apartment,Hindu,OBC
9,47,Male,Punjab,Ludhiana,Urban,Higher Secondary,Farmer,25000-50000,Self Employed,6,Independent House,Sikh,General
10,26,Female,Haryana,Gurgaon,Urban,Post Graduate,Consultant,75000-100000,Employed,2,Apartment,Hindu,General
11,55,Male,Madhya Pradesh,Bhopal,Urban,Primary,Shopkeeper,15000-25000,Self Employed,5,Independent House,Hindu,OBC
12,31,Female,Odisha,Bhubaneswar,Urban,Graduate,IT Professional,50000-75000,Employed,3,Apartment,Hindu,General
13,39,Male,Kerala,Kochi,Urban,Graduate,Accountant,50000-75000,Employed,4,Independent House,Christian,General
14,44,Female,Andhra Pradesh,Hyderabad,Urban,Higher Secondary,Housewife,0-15000,Unemployed,4,Apartment,Hindu,OBC
15,36,Male,Telangana,Hyderabad,Urban,Graduate,Sales Manager,50000-75000,Employed,4,Apartment,Hindu,SC
16,42,Female,Bihar,Patna,Urban,Higher Secondary,Teacher,25000-50000,Employed,5,Independent House,Hindu,OBC
17,30,Male,Jharkhand,Ranchi,Urban,Graduate,Engineer,50000-75000,Employed,3,Apartment,Hindu,ST
18,48,Female,Assam,Guwahati,Urban,Primary,Domestic Worker,15000-25000,Employed,6,Independent House,Hindu,OBC
19,35,Male,Tripura,Agartala,Urban,Higher Secondary,Police Officer,50000-75000,Employed,4,Independent House,Hindu,General
20,27,Female,Manipur,Imphal,Urban,Graduate,Journalist,25000-50000,Employed,3,Apartment,Hindu,General
21,53,Male,Nagaland,Kohima,Urban,Higher Secondary,Government Employee,50000-75000,Employed,5,Independent House,Christian,ST
22,32,Female,Mizoram,Aizawl,Urban,Graduate,Social Worker,25000-50000,Employed,4,Independent House,Christian,ST
23,40,Male,Arunachal Pradesh,Itanagar,Urban,Graduate,Forest Officer,50000-75000,Employed,4,Independent House,Hindu,ST
24,37,Female,Sikkim,Gangtok,Urban,Higher Secondary,Shopkeeper,25000-50000,Self Employed,3,Independent House,Hindu,General
25,46,Male,Himachal Pradesh,Shimla,Urban,Graduate,Tourism Officer,50000-75000,Employed,4,Independent House,Hindu,General
26,29,Female,Uttarakhand,Dehradun,Urban,Graduate,Teacher,25000-50000,Employed,3,Apartment,Hindu,General
27,51,Male,Jammu and Kashmir,Srinagar,Urban,Higher Secondary,Handicraft Worker,15000-25000,Self Employed,6,Independent House,Muslim,General
28,33,Female,Ladakh,Leh,Urban,Graduate,Government Officer,50000-75000,Employed,3,Independent House,Buddhist,ST
29,38,Male,Goa,Panaji,Urban,Graduate,Hotel Manager,75000-100000,Employed,3,Independent House,Christian,General
30,43,Female,Puducherry,Puducherry,Urban,Higher Secondary,Nurse,25000-50000,Employed,4,Apartment,Hindu,OBC
31,25,Male,Maharashtra,Pune,Urban,Graduate,Software Developer,50000-75000,Employed,2,Apartment,Hindu,General
32,56,Female,Karnataka,Mysore,Urban,Primary,Domestic Worker,15000-25000,Employed,5,Independent House,Hindu,OBC
33,41,Male,Tamil Nadu,Coimbatore,Urban,Graduate,Factory Manager,75000-100000,Employed,4,Independent House,Hindu,OBC
34,34,Female,Delhi,South Delhi,Urban,Post Graduate,Lawyer,100000-150000,Employed,3,Apartment,Hindu,General
35,49,Male,Gujarat,Surat,Urban,Higher Secondary,Textile Worker,25000-50000,Employed,5,Independent House,Hindu,OBC
36,28,Female,West Bengal,Howrah,Urban,Graduate,Bank Employee,50000-75000,Employed,3,Apartment,Hindu,General
37,52,Male,Rajasthan,Udaipur,Urban,Primary,Auto Driver,15000-25000,Self Employed,6,Independent House,Hindu,OBC
38,31,Female,Uttar Pradesh,Kanpur,Urban,Higher Secondary,Tailor,15000-25000,Self Employed,4,Independent House,Hindu,OBC
39,45,Male,Punjab,Amritsar,Urban,Graduate,Government Teacher,50000-75000,Employed,5,Independent House,Sikh,General
40,37,Female,Haryana,Faridabad,Urban,Graduate,HR Manager,75000-100000,Employed,3,Apartment,Hindu,General
41,24,Male,Madhya Pradesh,Indore,Urban,Graduate,Marketing Executive,25000-50000,Employed,3,Apartment,Hindu,General
42,58,Female,Odisha,Cuttack,Urban,Primary,Vegetable Vendor,15000-25000,Self Employed,4,Independent House,Hindu,OBC
43,36,Male,Kerala,Thiruvananthapuram,Urban,Graduate,Government Officer,50000-75000,Employed,4,Independent House,Christian,General
